time,users_count,finish_users_count 
0,1,0 
10,0.4,0 
20,0.8,0 
30,0.5,0 
40,0.6,0.5 
50,0.4,0.4 
60,1.6,0.8 
70,1.2,0.7 
80,1.8,0.5 
90,2,0.3 
100,1.3,0.5 
110,1.2,1.7 
120,2.3,1.3 
130,2.1,1.9 
140,1.8,1.5 
150,2.1,1.1 
160,1.7,1.8 
170,1.7,2 
180,3.5,1.7 
190,3.8,2.1 
200,2.6,2.3 
210,4.2,1.9 
220,3.9,2.3 
230,3.6,2.9 
240,5,3.5 
250,5.6,3 
260,6.8,3.1 
270,6.1,3.4 
280,5.1,4.5 
290,5.5,4.7 
300,8.6,6.6 
310,10,6.4 
320,9.8,4.8 
330,9.9,4.6 
340,9.8,4.5 
350,10,5 
360,15,6.6 
370,13.8,5.6 
380,16,6.2 
390,15.7,6.3 
400,16.3,7.7 
410,15.2,8.8 
420,16.7,11.8 
430,18,14.8 
440,18.2,18 
450,19.6,15.1 
460,19.9,18.3 
470,19,18.4 
480,22.9,16.8 
490,20.4,17.4 
500,23.2,18 
510,24.2,19.6 
520,22.3,21.3 
530,22.5,20.5 
540,29.5,22.7 
550,29.3,23.7 
560,34.6,24.4 
570,31.3,21.7 
580,31.5,23.3 
590,28.9,27.4 
600,34.2,30.8 
610,35.4,31.8 
620,34.5,33.5 
630,33.6,29.7 
640,34.9,32.1 
650,32.6,31.9 
660,35.8,31.9 
670,36.2,33.1 
680,37.1,37.3 
690,40,34.3 
700,38.3,36.4 
710,36.5,29 
720,9.7,33.7 
730,0,32.8 
740,0,33.4 
750,0,30.8 
760,0,42 
770,0,37.1 
780,0,18.5 
790,0,3.4 
