time,users,connected 
0,10,10 
10,14,10 
20,22,17 
30,27,17 
40,28,13 
50,28,14 
60,36,29 
70,41,29 
80,54,42 
90,71,47 
100,79,51 
110,74,46 
120,84,58 
130,86,64 
140,89,62 
150,99,66 
160,98,70 
170,95,62 
180,113,74 
190,130,93 
200,133,90 
210,156,106 
220,172,118 
230,179,118 
240,194,135 
250,220,149 
260,257,209 
270,284,183 
280,290,179 
290,298,195 
300,318,219 
310,354,243 
320,404,301 
330,457,326 
340,510,366 
350,560,438 
360,644,521 
370,726,596 
380,824,656 
390,918,688 
400,1004,712 
410,1068,712 
420,1117,708 
430,1149,768 
440,1151,738 
450,1196,786 
460,1212,795 
470,1218,789 
480,1279,812 
490,1309,844 
500,1361,821 
510,1407,842 
520,1417,829 
530,1437,865 
540,1505,932 
550,1561,952 
560,1663,995 
570,1759,1012 
580,1841,1032 
590,1856,1032 
600,1890,1031 
610,1926,1103 
620,1936,1080 
630,1975,1122 
640,2003,1100 
650,2010,1104 
660,2049,1109 
670,2080,1135 
680,2078,1159 
690,2135,1194 
700,2154,1190 
710,2229,1340 
720,1989,1088 
730,1661,857 
740,1327,692 
750,1019,526 
760,599,345 
770,228,156 
780,43,33 
790,9,5 
