time,users,connected 
0,11,11 
10,18,7 
20,27,8 
30,37,11 
40,43,5 
50,44,1 
60,51,6 
70,59,9 
80,61,3 
90,74,5 
100,74,1 
110,78,10 
120,78,-2 
130,85,10 
140,86,-4 
150,90,7 
160,90,-4 
170,90,5 
180,110,21 
190,128,17 
200,158,31 
210,181,22 
220,200,20 
230,212,12 
240,220,6 
250,242,22 
260,271,30 
270,291,18 
280,326,37 
290,365,36 
300,405,44 
310,471,63 
320,539,56 
330,632,79 
340,688,18 
350,757,106 
360,857,96 
370,969,80 
380,1072,25 
390,1148,27 
400,1238,38 
410,1293,-7 
420,1326,-17 
430,1343,1 
440,1351,17 
450,1351,-7 
460,1357,-12 
470,1379,12 
480,1451,86 
490,1493,-22 
500,1558,35 
510,1575,-22 
520,1606,19 
530,1634,8 
540,1686,42 
550,1755,22 
560,1848,43 
570,1888,-30 
580,1913,-17 
590,1913,-33 
600,1939,72 
610,1989,85 
620,2064,24 
630,2118,14 
640,2130,-56 
650,2130,-97 
660,2130,-13 
670,2130,-15 
680,2130,114 
690,2130,148 
700,2160,-44 
710,2208,-101 
720,2208,-2 
730,2208,-424 
740,2208,-62 
750,2208,-54 
760,2208,-128 
770,2208,-155 
780,2208,-172 
790,2208,-123 
800,2208,-78 
810,2208,-39 
820,2208,-2 
830,2208,-1 
840,2208,0 
850,2208,-2 
854,2208,0 
