time,page 
0,1.5 
10,3.5 
20,7.1 
30,10.8 
40,14.7 
50,15.5 
60,17.6 
70,20.5 
80,22.2 
90,25.7 
100,25.3 
110,27.8 
120,28.4 
130,31 
140,30 
150,31.5 
160,31.5 
170,31.9 
180,38.7 
190,45.3 
200,54.5 
210,58.3 
220,67.1 
230,72 
240,80.5 
250,83 
260,83.6 
270,83.8 
280,88.2 
290,90.3 
300,85 
310,91.6 
320,89.3 
330,102.7 
340,115 
350,136.8 
360,146.8 
370,160.6 
380,196.6 
390,244.9 
400,282.4 
410,298 
420,344.8 
430,350.9 
440,346.7 
450,353.3 
460,359.6 
470,362.1 
480,381.8 
490,392.2 
500,397.7 
510,435.9 
520,447.5 
530,464.3 
540,473.5 
550,487.4 
560,519.8 
570,513.8 
580,565.7 
590,537.6 
600,587.5 
610,589.3 
620,560.9 
630,624.2 
640,672.5 
650,648.6 
660,575.6 
670,602.9 
680,613.6 
690,593.7 
700,606.2 
710,648.8 
720,603.4 
730,656.3 
740,546.5 
750,389.1 
760,232.2 
770,181.9 
780,135.4 
790,85.9 
800,37.2 
810,11 
820,1.5 
830,0.6 
840,0.4 
850,0.7 
854,0 
