time,page 
0,3.3517036918192966 
10,61.28279271507964 
20,39.48335984971511 
30,33.37850922675894 
40,30.34832798221948 
50,29.97846347128668 
60,30.30049789757626 
70,29.72321110379125 
80,29.998504422916145 
90,27.203441647716108 
100,27.20649133969254 
110,28.57670334362812 
120,27.10112464454953 
130,50.888867580553345 
140,28.828484579221875 
150,29.148168916687066 
160,34.059919288817774 
170,29.48453215585236 
180,28.009363381893227 
190,30.16206678972778 
200,29.445879784600123 
210,31.514962425407045 
220,29.118188600951548 
230,32.01186588982098 
240,29.178543550389097 
250,31.224310193403834 
260,33.55292324180338 
270,33.19817230716351 
280,32.202654900231124 
290,33.55538510266863 
300,35.05894657130857 
310,37.212887528766885 
320,38.209775998644595 
330,37.54519416488047 
340,43.45392838287049 
350,42.14303368317177 
360,45.74135850660452 
370,49.942883785361204 
380,50.141550955474656 
390,59.44595429854526 
400,65.51961529243502 
410,80.79405679833184 
420,147.03505265397388 
430,116.78192460838669 
440,125.85604231474407 
450,261.42547510937993 
460,278.56820554140586 
470,370.9039074144224 
480,541.8431135014605 
490,681.5873663265099 
500,703.129484508245 
510,873.8056105637455 
520,1051.1049630335624 
530,1244.4314855837047 
540,1276.4876968863798 
550,1464.5880345201908 
560,1656.6059658138959 
570,1810.9016451250297 
580,1901.926877130461 
590,1868.5605471366118 
600,1785.3152231782174 
610,1675.4670108750438 
620,1662.968196762649 
630,1726.3660669168519 
640,1717.091749691928 
650,1749.9663797179976 
660,1824.7915230859162 
670,1928.2468256686402 
