time,sentpackets@tsung_controller@ip-172-31-20-240 
10,95 
20,762 
30,762 
40,762 
50,1038 
60,1104 
70,1384 
80,1798 
90,1979 
100,2234 
110,2278 
120,2337 
130,2337 
140,2337 
150,2337 
160,2375 
170,2625 
180,2833 
190,2833 
200,2833 
210,3134 
220,4392 
230,5269 
240,5730 
250,5730 
260,5830 
270,6131 
280,6131 
290,7242 
300,7689 
310,8735 
320,9281 
330,9759 
340,10291 
350,10841 
360,11288 
370,11515 
380,11515 
390,11515 
400,13229 
410,16159 
420,19302 
430,21742 
440,22652 
450,22741 
460,22741 
470,23142 
480,23910 
490,25467 
500,25507 
510,25673 
520,26582 
530,27716 
540,28214 
550,29724 
560,29727 
570,30386 
580,32179 
590,34310 
600,36430 
610,36773 
620,36773 
630,36773 
640,36773 
650,36926 
660,37414 
670,38285 
680,38914 
690,40615 
700,40615 
710,40615 
720,40615 
730,40615 
740,40615 
750,40615 
760,40615 
770,40615 
780,40615 
790,40615 
