time,session 
40,37155.358 
50,37155.358 
60,37155.358 
70,37155.358 
80,35926.519 
90,35926.519 
100,35926.519 
110,35926.519 
120,35926.519 
130,35926.519 
140,35926.519 
150,35926.519 
160,35926.519 
170,35926.519 
180,35926.519 
190,35926.519 
200,35926.519 
210,35926.519 
220,35926.519 
230,35926.519 
240,35926.519 
250,35926.519 
260,35926.519 
270,35926.519 
280,35926.519 
290,35926.519 
300,35926.519 
310,35926.519 
320,35926.519 
330,35926.519 
340,35926.519 
350,35926.519 
360,35926.519 
370,35926.519 
380,35926.519 
390,35926.519 
400,35926.519 
410,35926.519 
420,35532.265 
430,35532.265 
440,35532.265 
450,35532.265 
460,35532.265 
470,35532.265 
480,35532.265 
490,35532.265 
500,35532.265 
510,35532.265 
520,35532.265 
530,35532.265 
540,35532.265 
550,35532.265 
560,35532.265 
570,34603.541 
580,34603.541 
590,34603.541 
600,34603.541 
610,34603.541 
620,34603.541 
630,34603.541 
640,34603.541 
650,34603.541 
660,34603.541 
670,34603.541 
680,34603.541 
690,34603.541 
700,34603.541 
710,34603.541 
720,34603.541 
730,34603.541 
740,34603.541 
750,34603.541 
760,34603.541 
770,34603.541 
780,34603.541 
790,34603.541 
800,34603.541 
810,34603.541 
817,34603.541 
