time,users,connected 
0,9,9 
10,17,8 
20,26,8 
30,39,13 
40,49,10 
50,53,4 
60,56,2 
70,63,9 
80,71,6 
90,79,10 
100,92,10 
110,92,-10 
120,92,10 
130,92,-4 
140,92,-1 
150,92,3 
160,96,8 
170,96,-7 
180,113,25 
190,147,32 
200,174,29 
210,202,27 
220,225,22 
230,245,21 
240,295,46 
250,322,15 
260,352,-11 
270,394,28 
280,403,-17 
290,403,-9 
300,422,17 
310,471,58 
320,512,17 
330,554,-6 
340,576,2 
350,616,7 
360,693,57 
370,753,22 
380,820,16 
390,876,19 
400,909,-13 
410,917,-13 
420,934,41 
430,969,57 
440,983,-2 
450,1024,-3 
460,1071,-1 
470,1092,-17 
480,1185,82 
490,1216,35 
500,1250,-15 
510,1274,-5 
520,1313,-3 
530,1334,56 
540,1395,9 
550,1463,64 
560,1534,11 
570,1609,39 
580,1628,-35 
590,1679,31 
600,1762,76 
610,1845,25 
620,1856,-5 
630,1893,-17 
640,1893,-48 
650,1893,-11 
660,1893,23 
670,1893,23 
680,1893,42 
690,1893,13 
700,1899,-59 
710,1899,-45 
720,1899,-227 
730,1899,-209 
740,1899,-84 
750,1899,-43 
760,1899,-91 
770,1899,-121 
780,1899,-44 
790,1899,-13 
800,1899,-7 
810,1899,-1 
817,1899,0 
