time,page 
0,1.4 
10,5.3 
20,11.1 
30,17.6 
40,24.3 
50,24.5 
60,21.2 
70,13.7 
80,12.7 
90,16.2 
100,22.3 
110,25.6 
120,28.5 
130,28.7 
140,31.7 
150,37.3 
160,39.3 
170,40.4 
180,42.1 
190,43.6 
200,54 
210,63.7 
220,70.5 
230,71.4 
240,73.6 
250,77 
260,88.6 
270,93.7 
280,100.4 
290,103.9 
300,111 
310,119.9 
320,121.6 
330,115.7 
340,120.3 
350,121.1 
360,147.3 
370,194.3 
380,236.1 
390,289.4 
400,317.9 
410,327.9 
420,311.7 
430,318.9 
440,325.6 
450,342.8 
460,355.6 
470,386.2 
480,397.9 
490,400.9 
500,413.1 
510,431.9 
520,433 
530,458.3 
540,479.8 
550,483.2 
560,509 
570,539.4 
580,571.4 
590,591 
600,581 
610,648.6 
620,684.3 
630,720.1 
640,747.5 
650,743.8 
660,742.6 
670,737 
680,749.5 
690,737.5 
700,771.5 
710,783.8 
720,731.9 
730,651.3 
740,474.3 
750,335.8 
760,212.5 
770,117.2 
780,38.7 
790,10 
800,2.5 
803,0.1 
