time,recvpackets@tsung_controller@ip-172-31-29-45 
10,464 
20,729 
30,1500 
40,2129 
50,2768 
60,2768 
70,2768 
80,2768 
90,2768 
100,2768 
110,2768 
120,2822 
130,2961 
140,3130 
150,3456 
160,4035 
170,4120 
180,4205 
190,4512 
200,4755 
210,6021 
220,7119 
230,7633 
240,7668 
250,8283 
260,8647 
270,9462 
280,10406 
290,11043 
300,11758 
310,12595 
320,13039 
330,13829 
340,13829 
350,13950 
360,14407 
370,15859 
380,18925 
390,21818 
400,24346 
410,26241 
420,26241 
430,26241 
440,26241 
450,26241 
460,26241 
470,28435 
480,29352 
490,29352 
500,29846 
510,30430 
520,30688 
530,32359 
540,32665 
550,32665 
560,33245 
570,35710 
580,37010 
590,38283 
600,38783 
610,39546 
620,40966 
630,43744 
640,46379 
650,47908 
660,47908 
670,47908 
680,47908 
690,47908 
700,49082 
710,52425 
720,52758 
730,52758 
740,52758 
750,52758 
760,52758 
770,52758 
780,52758 
790,52758 
800,52758 
