time,users,connected 
0,11,9 
10,18,9 
20,28,9 
30,33,5 
40,35,1 
50,39,5 
60,47,5 
70,53,10 
80,57,3 
90,72,16 
100,81,9 
110,84,-6 
120,88,12 
130,92,1 
140,96,7 
150,101,3 
160,101,-6 
170,101,6 
180,108,9 
190,120,12 
200,129,9 
210,147,19 
220,169,19 
230,174,7 
240,206,26 
250,238,36 
260,255,20 
270,291,34 
280,305,12 
290,335,20 
300,370,43 
310,408,42 
320,438,30 
330,479,41 
340,543,65 
350,594,49 
360,688,93 
370,820,120 
380,952,102 
390,1053,11 
400,1135,9 
410,1248,25 
420,1359,26 
430,1411,30 
440,1417,-15 
450,1417,-32 
