time,cpu@tsung_controller@ip-172-31-22-253 
0,4.663623143490595 
10,0.6993006993006993 
20,0.802407221664995 
30,1.3013013013013013 
40,3.5070140280561124 
50,1.402805611222445 
60,1.8036072144288577 
70,1.9019019019019021 
80,1.4141414141414141 
90,3.9235412474849096 
100,1.9153225806451613 
110,2.320887991927346 
120,2.613065326633166 
130,3.7848605577689245 
140,5.331991951710262 
150,3.229061553985873 
160,2.8426395939086295 
170,3.3299697275479314 
180,3.0364372469635628 
190,3.927492447129909 
200,3.535353535353535 
210,3.640040444893832 
220,4.0650406504065035 
230,4.771573604060913 
240,5.4989816700611 
250,6.445115810674723 
260,7.358870967741936 
270,9.100204498977506 
280,14.43089430894309 
290,11.83673469387755 
300,11.201629327902241 
310,11.503531786074673 
320,10.847107438016529 
330,10.813594232749743 
340,11.008230452674898 
350,11.34020618556701 
360,12.09016393442623 
370,12.07920792079208 
380,13.891726251276811 
390,21.334681496461073 
400,31.604696673189824 
410,39.79206049149339 
420,43.11490978157645 
430,44.41340782122905 
440,45.80223880597015 
450,45.182413470533206 
