time,recvpackets@tsung_controller@ip-172-31-22-253 
10,281 
20,713.0 
30,1160.0 
40,1797.0 
50,1431.0 
60,1840.0 
70,1873.0 
80,2131.0 
90,2822.0 
100,2780.0 
110,3312.0 
120,3287.0 
130,4001.0 
140,4806.0 
150,4454.0 
160,4349.0 
170,4074.0 
180,4574.0 
190,4648.0 
200,4816.0 
210,5285.0 
220,6231.0 
230,6841.0 
240,7986.0 
250,8723.0 
260,9330.0 
270,10918.0 
280,12889.0 
290,13756.0 
300,14766.0 
310,15518.0 
320,15556.0 
330,15262.0 
340,15874.0 
350,16417.0 
360,16440.0 
370,16457.0 
380,16468.0 
390,16808.0 
400,19003.0 
410,22522.0 
420,27123.0 
430,28492.0 
440,30459.0 
450,29123.0 
