time,502,200,500,422,400,302 
280,85,7288,,11,63,7895 
290,254,7754,,54,261,8379 
300,531,8208,,134,620,8780 
310,823,8707,1,227,1078,9251 
320,1235,9268,6,359,1685,9694 
330,1932,9751,12,503,2553,10032 
340,2627,10209,33,679,3525,10302 
350,3272,10695,58,899,4576,10631 
360,3976,11207,94,1146,5697,10953 
370,4825,11721,129,1380,6872,11250 
380,5863,12224,177,1599,8228,11587 
390,7100,12680,222,1823,9851,11842 
400,8382,13189,268,2118,11723,12105 
410,9726,13653,311,2408,13633,12320 
420,11127,14141,405,2745,15713,12585 
430,12773,14609,472,3031,17853,12802 
440,14531,15025,547,3336,20060,13019 
450,16333,15447,610,3615,22350,13209 
460,18138,15984,679,3953,24854,13445 
470,20120,16480,748,4305,27565,13648 
480,22297,16886,834,4618,30303,13833 
490,24380,17346,924,4959,33043,14015 
500,26651,17708,983,5204,35700,14165 
510,28966,18181,1076,5509,38661,14314 
520,31347,18647,1160,5872,41841,14486 
530,33913,19089,1248,6222,45100,14643 
540,36561,19552,1341,6583,48430,14819 
550,39546,19948,1436,6888,51925,14972 
560,42590,20356,1529,7205,55576,15125 
570,45697,20811,1610,7521,59396,15265 
580,49258,21307,1694,7842,63759,15394 
590,52788,21830,1797,8221,68200,15528 
600,56678,22206,1890,8511,72736,15620 
610,60516,22762,2018,8918,77500,15726 
620,64208,22946,2079,9062,81285,15764 
630,65623,22946,2081,9063,82160,15765 
640,69885,23574,2174,9479,87769,15823 
650,74820,24165,2290,10083,94804,15926 
660,79612,24665,2428,10718,101561,16016 
670,84909,25066,2628,11114,107236,16075 
680,89408,25450,2784,11453,111992,16137 
690,93566,25732,2870,11689,116299,16174 
700,97647,26333,2990,12129,121365,16243 
710,101787,27113,3156,12767,127219,16324 
720,106181,27801,3339,13417,133609,16379 
730,110170,28425,3552,14062,139876,16424 
740,113442,28895,3756,14650,144855,16454 
750,115860,29111,3925,14961,147721,16464 
760,116942,29306,4148,15319,149207,16469 
770,117317,29446,4346,15611,149880,16476 
780,117317,29486,4416,15705,150038,16479 
790,117317,29486,4416,15705,150041,16479 
800,117351,29558,4549,15895,150256,16485 
810,117351,29606,4610,15978,150378,16500 
820,117351,29625,4631,16016,150443,16502 
830,117351,29629,4642,16031,150459,16502 
840,117351,29629,4646,16033,150459,16502 
840,117351,29629,4646,16033,150459,16502 
