time,users_count,finish_users_count 
0,7,0 
10,15,0 
20,21,0 
30,33,0 
40,44,2 
50,53,4 
60,60,7 
70,76,14 
80,87,27 
90,109,36 
100,125,50 
110,145,61 
120,158,70 
130,169,89 
140,187,104 
150,204,127 
160,222,145 
170,250,158 
180,286,172 
190,332,187 
200,372,203 
210,414,218 
220,458,245 
230,496,265 
240,526,289 
250,592,305 
260,656,333 
270,710,355 
280,776,379 
290,837,402 
300,917,442 
310,1000,472 
320,1104,508 
330,1221,574 
340,1308,665 
350,1405,744 
360,1531,828 
370,1689,928 
380,1861,1022 
390,2009,1135 
400,2161,1241 
410,2306,1382 
420,2483,1511 
430,2680,1644 
440,2874,1827 
450,3054,1993 
460,3247,2143 
470,3448,2309 
480,3672,2503 
490,3897,2695 
500,4113,2895 
510,4362,3095 
520,4588,3280 
530,4827,3501 
540,5102,3703 
550,5408,3942 
560,5704,4190 
570,6047,4400 
580,6378,4662 
590,6663,4937 
600,6984,5253 
610,7367,5551 
620,7758,5851 
630,8178,5946 
640,8503,6112 
650,8683,6397 
660,8861,6732 
670,9302,7363 
680,9729,7849 
690,10171,8220 
700,10625,8521 
710,11028,8792 
720,11154,9156 
730,11154,9517 
740,11154,9923 
750,11154,10353 
760,11154,10686 
770,11154,10920 
780,11154,10960 
790,11154,10960 
800,11154,11082 
810,11154,11127 
820,11154,11144 
830,11154,11152 
840,11154,11154 
840,11154,11154 
