time,page 
0,1.1 
10,1.7 
20,2.3 
30,2.6 
40,2.7 
50,3.8 
60,3.3 
70,4.3 
80,3.7 
90,5.2 
100,5.2 
110,4 
120,4.7 
130,6.4 
140,7.3 
150,6.2 
160,5.9 
170,6.3 
180,4.2 
190,8.4 
200,8.8 
210,10 
220,12.1 
230,9.6 
240,12.8 
250,15.4 
260,16.3 
270,17.8 
280,16.6 
290,15.4 
300,18.3 
310,22.4 
320,27 
330,28.6 
340,27.2 
350,29.9 
360,32.2 
370,39.9 
380,45.1 
390,47.6 
400,47 
410,45.4 
420,50 
430,54 
440,53.1 
450,61.6 
460,59.5 
470,57.9 
480,58.3 
490,65.3 
500,74.1 
510,70.1 
520,77 
530,79.1 
540,82.2 
