time,cpu@tsung_controller@ip-172-31-22-131 
0,0.8809949957187149 
10,0.7028112449799196 
20,2.9000000000000004 
30,2.9850746268656714 
40,2.7916251246261217 
50,2.5974025974025974 
60,2.002002002002002 
70,6.2 
80,4.195804195804196 
90,3.1589338598223096 
100,2.6418786692759295 
110,3.581800580832527 
120,2.697302697302697 
130,1.7085427135678393 
140,3.3932135728542914 
150,4.595404595404595 
160,5.025125628140704 
170,7.199999999999999 
180,9.760589318600369 
190,12.015503875968992 
200,14.65603190428714 
210,13.47305389221557 
220,11.022044088176353 
230,8.996212121212121 
240,4.8732943469785575 
250,5.04364694471387 
260,2.4630541871921183 
270,2.2044088176352705 
280,3.4034034034034035 
290,1.7000000000000002 
300,1.002004008016032 
310,0.5005005005005005 
318,0.2004008016032064 
