time,cpu@tsung_controller@ip-172-31-22-131 
0,0.8809949957187149 
10,0.8809949957187149 
20,2.9000000000000004 
30,2.9850746268656714 
40,2.9850746268656714 
50,2.9850746268656714 
60,2.9850746268656714 
70,6.2 
80,6.2 
90,6.2 
100,6.2 
110,6.2 
120,6.2 
130,6.2 
140,6.2 
150,6.2 
160,6.2 
170,7.199999999999999 
180,9.760589318600369 
190,12.015503875968992 
200,14.65603190428714 
210,14.65603190428714 
220,14.65603190428714 
230,14.65603190428714 
240,14.65603190428714 
250,14.65603190428714 
260,14.65603190428714 
270,14.65603190428714 
280,14.65603190428714 
290,14.65603190428714 
300,14.65603190428714 
310,14.65603190428714 
318,14.65603190428714 
