time,page 
0,10.217142857142857 
10,35.009419354838705 
20,37.85886075949364 
30,43.074383233532956 
40,47.15911255411256 
50,51.78462162162164 
60,36.985238095238095 
70,33.59002453987729 
80,39.41102013422816 
90,33.3500787878788 
100,41.60107657657657 
110,40.57530943396227 
120,42.32657988165682 
130,36.8130212765957 
140,38.916603217158226 
150,37.34529310344823 
160,42.1465397727272 
170,39.679892307692306 
180,38.94337595907932 
190,39.795773972602746 
200,51.32891497975705 
210,43.971756888168606 
220,44.65329085872578 
230,45.62175600961542 
240,45.94780660377349 
250,51.08158443113782 
260,47.05667789001126 
270,48.02429710144933 
280,52.45072465116286 
290,58.36746584938709 
300,51.75755732217562 
310,61.01196829079659 
320,70.54938568588452 
330,85.94769947886539 
340,121.77295356037142 
350,235.02373126873096 
360,271.9220229445515 
370,307.6784304304308 
380,493.5404730848859 
390,820.372557089751 
400,1515.4004518828456 
410,2109.945346674873 
420,3098.5334785458854 
430,3672.6102333751587 
440,4868.984680075418 
450,5246.49143043221 
460,5674.471697854583 
470,5536.843699765815 
480,4455.868555400209 
490,3649.7611051000367 
500,2970.727476056327 
510,2556.3317511129053 
520,2568.393607457369 
530,2209.4045457504576 
540,2454.189238842194 
550,2305.813973081123 
560,2415.1249509562394 
570,2514.174966354421 
580,1507.6784086124421 
590,2122.7203213256466 
600,2154.1961289088435 
610,2105.0302305051387 
620,1803.6125113051512 
630,2179.110022277965 
640,1660.7831229557871 
650,1626.5239201394127 
660,1383.3087635444642 
670,1311.9424052707664 
680,1112.3908295845029 
690,1288.8225558366446 
700,1649.9592245581387 
710,1902.2855450432762 
720,1957.7409163369132 
730,1987.0574970232692 
740,1609.4632994021415 
750,1144.3168908474504 
760,1614.8667849005558 
770,1707.6372846394977 
780,2414.2579090909153 
790,1997.0777802503437 
800,1477.8709351145021 
810,1476.5039633027518 
820,1256.0436666666667 
828,2508.33675 
