time,users,connected 
0,8,8 
10,14,13 
20,25,25 
30,31,31 
40,39,39 
50,44,44 
60,59,58 
70,64,64 
80,84,83 
90,86,86 
100,85,86 
110,66,66 
120,65,64 
130,66,66 
140,67,67 
150,87,87 
160,102,102 
170,98,98 
180,118,118 
190,128,129 
200,139,139 
210,153,152 
220,164,165 
230,172,172 
240,207,205 
250,229,227 
260,262,261 
270,287,282 
280,312,311 
290,316,318 
300,388,389 
310,461,444 
320,517,477 
330,594,546 
340,673,654 
350,725,699 
360,829,772 
370,926,868 
380,1038,941 
390,1140,948 
400,1234,968 
410,1253,959 
420,1288,931 
430,1356,1008 
440,1383,1020 
450,1353,991 
460,1341,972 
470,1368,991 
480,1438,1026 
490,1487,1033 
500,1540,1036 
510,1608,1064 
520,1631,1059 
530,1640,1086 
540,1678,1129 
550,1712,1108 
560,1749,1149 
570,1823,1146 
581,1845,1247 
590,1792,1059 
600,1758,1049 
610,1769,1108 
620,1840,1206 
630,1882,1192 
640,1912,1177 
650,1898,1101 
660,1830,1174 
670,1772,1082 
680,1811,1142 
690,1903,1251 
700,1958,1278 
710,2046,1259 
720,1871,1008 
730,1647,797 
740,1380,708 
750,1065,628 
760,791,581 
770,515,449 
780,245,204 
790,116,108 
800,32,31 
810,8,8 
820,4,4 
830,4,4 
840,4,4 
850,2,2 
860,2,2 
870,0,0 
874,0,0 
