time,sentpackets@tsung_controller@ip-172-31-29-234 
10,106 
20,171 
30,468 
40,970 
50,1045 
60,1159 
70,1289 
80,1352 
90,1602 
100,2209 
110,2561 
120,2561 
130,2561 
140,2689 
150,2689 
160,2689 
170,2689 
180,2689 
190,2695 
200,3175 
210,3710 
220,4155 
230,4792 
240,5271 
250,5314 
260,5741 
270,6321 
280,7038 
290,7806 
300,8200 
310,8727 
320,9987 
330,10429 
340,11979 
350,12837 
360,13530 
370,14088 
380,14359 
390,15622 
400,16700 
410,16847 
420,18016 
430,19749 
440,19749 
450,19749 
460,19749 
470,19749 
480,21783 
490,23918 
500,26768 
510,28049 
520,28336 
530,30312 
540,37714 
550,37714 
560,37714 
570,37714 
580,37714 
590,37714 
600,37714 
610,37714 
620,37714 
630,37714 
640,37714 
650,37714 
660,37714 
670,37714 
680,37714 
690,37714 
700,37714 
710,37889 
720,40914 
730,43415 
740,43415 
750,43415 
760,43415 
770,43415 
780,43415 
790,43415 
800,43415 
810,43415 
