time,recvpackets@tsung_controller@ip-172-31-29-234 
10,131 
20,266 
30,750 
40,1510 
50,1609 
60,1755 
70,1863 
80,2013 
90,2418 
100,3381 
110,3905 
120,3905 
130,3905 
140,3905 
150,3905 
160,3905 
170,3905 
180,3905 
190,4021 
200,4629 
210,5651 
220,6392 
230,7363 
240,7908 
250,7908 
260,8671 
270,9823 
280,10878 
290,12013 
300,12529 
310,13314 
320,15352 
330,16478 
340,19042 
350,20411 
360,21665 
370,22269 
380,23493 
390,25120 
400,26900 
410,27814 
420,29520 
430,32045 
440,32045 
450,32045 
460,32045 
470,32045 
480,34467 
490,36715 
500,41781 
510,43271 
520,43271 
530,46165 
540,58796 
550,58796 
560,58796 
570,58796 
580,58796 
590,58796 
600,58796 
610,58796 
620,58796 
630,58796 
640,58796 
650,58796 
660,58796 
670,58796 
680,58796 
690,58796 
700,58796 
710,58796 
720,60796 
730,63330 
740,63330 
750,63330 
760,63330 
770,63330 
780,63330 
790,63330 
800,63330 
810,63330 
