time,recvpackets@tsung_controller@ip-172-31-30-146 
10,120 
20,182.0 
30,655.0 
40,1199.0 
50,1853.0 
60,2190.0 
70,2240.0 
80,2824.0 
90,3176.0 
100,3678.0 
110,4053.0 
120,3673.0 
130,3369.0 
140,2975.0 
150,2741.0 
160,3634.0 
170,4271.0 
180,4489.0 
190,5017.0 
200,4904.0 
210,5935.0 
220,6441.0 
230,7104.0 
240,7087.0 
250,8975.0 
260,10075.0 
270,10703.0 
280,10898.0 
290,10481.0 
300,9663.0 
310,10938.0 
320,10762.0 
330,11322.0 
340,13008.0 
350,16210.0 
360,16949.0 
370,18935.0 
380,18417.0 
390,19767.0 
400,22102.0 
410,24995.0 
420,27196.0 
430,28776.0 
440,31060.0 
450,28473.0 
460,28428.0 
470,28461.0 
480,30186.0 
490,30668.0 
500,33792.0 
510,34593.0 
520,37583.0 
530,35993.0 
540,36727.0 
550,37448.0 
560,38015.0 
570,39558.0 
581,40643.0 
590,41935.0 
600,43067.0 
610,40872.0 
620,41149.0 
630,41715.0 
640,40711.0 
650,44272.0 
660,42822.0 
670,44958.0 
680,44565.0 
690,42105.0 
700,39195.0 
710,41372.0 
720,44342.0 
730,48769.0 
740,46730.0 
750,37535.0 
760,26429.0 
770,16336.0 
780,10322.0 
790,8032.0 
800,5219.0 
810,3456.0 
820,2254.0 
830,2315.0 
840,1667.0 
850,2141.0 
860,2250.0 
870,924.0 
