time,page 
0,73.35999943429661 
10,45.08243587473951 
20,42.97302921497389 
30,51.82130833574026 
40,37.38435683221142 
50,37.85353333917457 
60,30.460674121130182 
70,36.69904219771249 
80,112.88520558084755 
90,39.348187914804036 
100,42.089677031032956 
110,35.99627231240506 
120,29.17374419939213 
130,30.841189215781906 
140,37.791872683077756 
150,34.42735721187585 
160,39.59456224921329 
170,31.765686506955777 
180,71.87288837054034 
190,66.83976330343073 
200,52.20306060064255 
210,49.46816368762335 
220,55.26409062986966 
230,42.4919185135455 
240,51.666600834018375 
250,50.49520685697701 
260,52.851856929565734 
270,70.71718074686679 
280,73.09109326661684 
290,60.04177042409672 
300,87.0204768988905 
310,71.6822084522343 
320,96.85798170758457 
330,141.22453348485266 
340,147.62353668177957 
350,164.90120278235636 
360,146.65016314185505 
370,185.34101180831487 
380,237.5123678593668 
390,418.9854116753133 
400,621.0474462140911 
410,989.1534249816282 
420,1034.645342459848 
430,846.4185229756124 
440,956.549469255856 
450,1320.3043810606998 
460,1410.6179464595132 
470,1381.1026926140357 
480,1236.6744754433598 
490,1147.8836137947058 
500,1000.1424880654147 
510,923.2997993528547 
520,944.8358091049264 
530,629.5079295701634 
540,294.1244321154011 
550,149.6609415093127 
560,79.61439660168419 
570,92.8318889669818 
580,78.2260123169611 
590,105.92530196989492 
600,141.49763201174187 
610,106.6386211438812 
620,141.84840513383983 
630,122.61590538694477 
640,254.70397716596042 
650,495.5035920673085 
660,533.9776339392234 
670,705.4607068219027 
680,746.5303918275301 
690,882.9976812965925 
700,928.3423058869938 
710,927.574876609372 
720,852.6881605632523 
730,687.7098369052047 
740,325.10014903905187 
750,37.07725510545497 
760,21.147313138122318 
770,17.62719236969066 
780,44.83627924173744 
790,11.224729305093462 
800,7.9887319602883995 
810,3.7055096599523254 
813,0 
