time,users,connected 
0,9,9 
10,15,15 
20,30,29 
30,37,37 
40,41,41 
50,46,46 
60,42,42 
70,49,47 
80,60,59 
90,58,58 
100,70,71 
110,72,72 
120,74,74 
130,81,80 
140,85,85 
150,90,89 
160,94,93 
170,97,97 
180,115,115 
190,137,137 
200,161,161 
210,172,173 
220,175,175 
230,188,189 
240,217,216 
250,251,250 
260,272,269 
270,288,287 
280,297,294 
290,299,293 
300,320,316 
310,375,373 
320,416,414 
330,461,455 
340,514,511 
350,586,581 
360,660,656 
370,766,765 
380,905,901 
390,1043,1041 
400,1187,1086 
410,1311,1125 
420,1413,1102 
430,1527,1056 
440,1620,1080 
450,1654,1113 
460,1634,1042 
470,1605,1090 
480,1597,1101 
490,1635,1124 
500,1676,1145 
510,1745,1130 
520,1784,1137 
530,1822,1091 
540,1907,1200 
550,1988,1365 
560,2054,1373 
570,2132,1448 
580,2196,1389 
590,2243,1423 
600,2263,1397 
610,2311,1479 
620,2358,1523 
630,2390,1525 
640,2408,1507 
650,2398,1445 
660,2394,1515 
670,2397,1512 
680,2413,1557 
690,2439,1551 
700,2463,1549 
710,2434,1451 
720,2187,1255 
730,1838,1020 
740,1471,919 
750,1131,833 
760,884,765 
770,686,647 
780,544,536 
790,458,454 
800,369,369 
810,259,262 
820,120,121 
830,6,6 
838,0,0 
