time,users,connected 
0,2,2 
10,15,11 
20,29,15 
30,35,7 
40,49,14 
50,51,2 
60,55,3 
70,58,3 
80,60,-1 
90,62,1 
100,67,7 
110,73,5 
120,73,2 
130,79,7 
140,79,-1 
150,87,10 
160,94,6 
170,100,3 
180,100,3 
190,114,15 
200,137,23 
210,165,28 
220,173,6 
230,184,10 
240,190,6 
250,213,23 
260,240,29 
270,256,9 
280,295,44 
290,321,23 
300,347,29 
310,413,47 
320,484,70 
330,543,16 
340,611,25 
350,653,-8 
360,713,35 
370,791,59 
380,831,21 
390,855,-27 
400,933,20 
410,981,17 
420,1002,-16 
430,1023,-3 
440,1051,22 
450,1051,12 
460,1068,28 
470,1084,-7 
480,1115,47 
490,1172,-15 
500,1234,20 
510,1265,-8 
520,1312,45 
530,1315,-38 
540,1330,55 
550,1423,89 
560,1516,-3 
570,1633,46 
580,1652,-53 
590,1676,22 
600,1704,69 
610,1766,68 
620,1877,53 
630,1968,-12 
640,1989,-112 
650,1996,-27 
660,1996,-69 
670,1996,84 
680,1996,204 
690,1996,43 
700,1996,-142 
710,2078,-37 
720,2078,-92 
730,2078,-294 
740,2078,-179 
750,2078,-25 
760,2078,-69 
770,2078,-113 
780,2078,-97 
790,2078,-72 
800,2078,-28 
810,2078,-13 
816,2078,-2 
