time,users,connected 
0,2,2 
10,15,13 
20,29,28 
30,35,35 
40,49,49 
50,51,51 
60,55,54 
70,57,57 
80,57,56 
90,58,57 
100,63,64 
110,69,69 
120,71,71 
130,79,78 
140,77,77 
150,87,87 
160,94,93 
170,96,96 
180,99,99 
190,114,114 
200,137,137 
210,165,165 
220,171,171 
230,183,181 
240,189,187 
250,212,210 
260,240,239 
270,250,248 
280,295,292 
290,319,315 
300,347,344 
310,413,391 
320,484,461 
330,542,477 
340,610,502 
350,652,494 
360,713,529 
370,791,588 
380,822,609 
390,851,582 
400,930,602 
410,981,619 
420,1001,603 
430,1023,600 
440,1033,622 
450,1029,634 
460,1066,662 
470,1075,655 
480,1109,702 
490,1171,687 
500,1231,707 
510,1265,699 
520,1311,744 
530,1285,706 
540,1330,761 
550,1422,850 
560,1516,847 
570,1632,893 
580,1651,840 
590,1660,862 
600,1693,931 
610,1760,999 
620,1871,1052 
630,1968,1040 
640,1971,928 
650,1961,901 
660,1864,832 
670,1806,916 
680,1872,1120 
690,1927,1163 
700,1987,1021 
710,2048,984 
720,1930,892 
730,1555,598 
740,1160,419 
750,820,394 
760,484,325 
770,270,212 
780,127,115 
790,43,43 
800,15,15 
810,1,2 
816,0,0 
