time,cpu@tsung_controller@ip-172-31-28-10 
0,2.2167622844175225 
10,0.6 
20,0.1002004008016032 
30,0.7007007007007007 
40,0.8016032064128256 
50,4.7283702213279675 
60,5.210420841683367 
70,3.242147922998987 
80,3.4239677744209467 
90,3.5246727089627394 
100,3.0181086519114686 
110,3.8383838383838382 
120,2.4242424242424243 
130,2.219979818365288 
140,1.9191919191919191 
150,1.8218623481781375 
160,2.610441767068273 
170,2.738336713995943 
180,2.434077079107505 
190,6.471183013144591 
200,5.449041372351161 
210,3.451776649746193 
220,5.905905905905906 
230,7.3366834170854265 
240,7.267144319344933 
250,6.224489795918367 
260,9.155645981688707 
270,6.693711967545639 
280,10.16949152542373 
290,11.722731906218145 
300,9.323770491803279 
310,9.45529290853032 
320,9.877800407331975 
330,11.788617886178862 
340,16.093023255813954 
350,19.46826758147513 
360,28.374384236453203 
370,32.032032032032035 
380,33.67139959432049 
390,34.73053892215569 
400,37.96384395813511 
410,38.75123885034688 
420,41.584158415841586 
430,42.51207729468599 
440,42.08456243854474 
450,44.1432720232333 
460,41.98473282442748 
470,42.74735830931796 
480,40.78431372549019 
490,43.14671814671815 
500,44.20849420849421 
510,44.936086529006886 
520,43.69668246445498 
530,46.05769230769231 
540,45.10184287099903 
550,45.507246376811594 
560,45.55023923444976 
570,46.04105571847507 
580,47.162426614481404 
590,48.71541501976285 
600,48.19159335288368 
610,48.23529411764706 
620,47.74066797642436 
630,48.61386138613861 
640,49.05847373637265 
650,49.32371505861136 
660,49.275362318840585 
670,49.146110056926 
680,49.404761904761905 
690,49.40711462450593 
700,49.12109375 
710,49.16911045943304 
720,49.25962487660415 
730,49.31372549019608 
740,49.30555555555556 
750,49.3 
760,49.2 
770,27.035175879396984 
780,15.768463073852296 
790,11.189516129032258 
800,6.720160481444333 
810,0.5030181086519114 
816,0.40040040040040037 
