time,users_count,finish_users_count 
0,9,0 
10,19,0 
20,25,0 
30,29,0 
40,35,1 
50,46,10 
60,57,16 
70,74,17 
80,89,24 
90,99,33 
100,117,48 
110,126,57 
120,150,70 
130,163,89 
140,188,102 
150,208,112 
160,238,128 
170,251,145 
180,288,165 
190,332,186 
200,372,208 
210,415,230 
220,455,248 
230,491,271 
240,530,298 
250,593,326 
260,654,352 
270,730,373 
280,797,390 
290,851,418 
300,939,443 
310,1048,473 
320,1132,521 
330,1214,584 
340,1324,671 
350,1414,764 
360,1553,855 
370,1737,963 
380,1916,1057 
390,2073,1143 
400,2217,1263 
410,2357,1380 
420,2515,1532 
430,2711,1722 
440,2882,1894 
450,3084,2041 
460,3284,2197 
470,3474,2365 
480,3708,2531 
490,3974,2702 
500,4228,2931 
510,4463,3123 
520,4694,3324 
530,4935,3556 
540,5200,3803 
550,5548,4054 
560,5868,4291 
570,6199,4538 
580,6504,4784 
590,6814,5032 
600,7160,5342 
610,7563,5656 
620,7941,6023 
630,8318,6356 
640,8685,6678 
650,9042,7003 
660,9467,7391 
670,9879,7762 
680,10291,8138 
690,10649,8510 
700,11015,8899 
710,11405,9306 
720,11501,9668 
730,11501,10066 
740,11501,10450 
750,11501,10813 
760,11501,11097 
770,11501,11340 
780,11501,11453 
790,11501,11487 
800,11501,11497 
810,11501,11500 
820,11501,11500 
830,11501,11500 
834,11501,11501 
