time,users,connected 
0,9,9 
10,19,19 
20,25,25 
30,29,29 
40,34,34 
50,36,36 
60,41,43 
70,57,57 
80,65,63 
90,66,65 
100,69,70 
110,69,70 
120,80,81 
130,74,74 
140,86,85 
150,96,95 
160,110,110 
170,106,106 
180,123,123 
190,146,145 
200,164,164 
210,185,186 
220,207,207 
230,220,222 
240,232,229 
250,267,266 
260,302,296 
270,357,350 
280,407,398 
290,433,402 
300,496,425 
310,575,482 
320,611,454 
330,630,471 
340,653,453 
350,650,438 
360,698,500 
370,774,570 
380,859,587 
390,930,588 
400,954,555 
410,977,568 
420,983,589 
430,989,618 
440,988,607 
450,1043,634 
460,1087,646 
470,1109,637 
480,1177,673 
490,1272,767 
500,1297,749 
510,1340,754 
520,1370,703 
530,1379,718 
540,1397,773 
550,1494,867 
560,1577,890 
570,1661,909 
580,1720,862 
590,1782,916 
600,1818,933 
610,1907,1024 
620,1918,1012 
630,1962,976 
640,2007,998 
650,2039,1021 
660,2076,1044 
670,2117,1066 
680,2153,1066 
690,2139,1052 
700,2116,1049 
710,2099,979 
720,1833,742 
730,1435,473 
740,1051,386 
750,688,345 
760,404,267 
770,161,85 
780,48,25 
790,14,7 
800,4,1 
810,1,0 
820,1,0 
830,1,1 
834,0,0 
