time,users,connected 
0,10,10 
10,16,16 
20,22,22 
30,31,32 
40,33,33 
50,42,43 
60,51,50 
70,58,57 
80,73,72 
90,77,74 
100,81,82 
110,74,74 
120,72,72 
130,83,83 
140,87,85 
150,99,99 
160,107,106 
170,103,103 
180,105,106 
190,125,124 
200,140,141 
210,161,161 
220,175,175 
230,185,186 
240,199,200 
250,226,223 
260,262,258 
270,307,305 
280,344,341 
290,362,362 
300,372,371 
310,416,412 
320,449,451 
330,509,508 
340,573,574 
350,633,631 
360,734,722 
370,853,835 
380,981,914 
390,1071,932 
400,1179,954 
410,1258,989 
420,1328,980 
430,1381,983 
440,1393,1009 
450,1362,975 
460,1361,970 
470,1371,976 
480,1389,1004 
490,1472,1054 
500,1508,1032 
510,1532,1000 
520,1578,1013 
530,1590,1037 
540,1650,1121 
550,1729,1151 
560,1733,1094 
570,1829,1144 
580,1874,1154 
590,1951,1182 
600,1977,1165 
610,2028,1249 
620,2068,1251 
630,2120,1274 
640,2114,1243 
650,2103,1214 
660,2075,1167 
670,2066,1225 
680,2077,1253 
690,2156,1336 
700,2177,1335 
710,2154,1293 
720,1939,1040 
730,1636,845 
740,1313,743 
750,1013,672 
760,762,628 
770,522,475 
780,316,297 
790,159,160 
800,52,53 
810,5,5 
820,2,2 
830,1,1 
840,1,1 
848,0,0 
