time,sentpackets@tsung_controller@ip-172-31-23-127 
10,82 
20,176.0 
30,505.0 
40,872.0 
50,1426.0 
60,1818.0 
70,1713.0 
80,1594.0 
90,2190.0 
100,1892.0 
110,2074.0 
120,1977.0 
130,2061.0 
140,2008.0 
150,2241.0 
160,2619.0 
170,3553.0 
180,3901.0 
190,2965.0 
200,2992.0 
210,3356.0 
220,6283.0 
230,5806.0 
240,5391.0 
250,5709.0 
260,5745.0 
270,6467.0 
280,7639.0 
290,8171.0 
300,8769.0 
310,8583.0 
320,10154.0 
330,10947.0 
340,10645.0 
350,12209.0 
360,12921.0 
370,14575.0 
380,15514.0 
390,15821.0 
400,16442.0 
410,17047.0 
420,18164.0 
430,17866.0 
440,18261.0 
450,18564.0 
460,19227.0 
470,21139.0 
480,23277.0 
490,25311.0 
500,27389.0 
510,29253.0 
520,28053.0 
530,28782.0 
540,29993.0 
550,29749.0 
560,30244.0 
570,30787.0 
580,31799.0 
590,33982.0 
600,35495.0 
610,36579.0 
620,42547.0 
630,42679.0 
640,43001.0 
651,34423.0 
660,2.64e4 
670,29780.0 
680,32615.0 
690,37989.0 
700,35331.0 
710,36245.0 
720,40398.0 
730,39447.0 
740,40148.0 
750,37905.0 
760,26820.0 
770,12029.0 
780,5689.0 
790,4148.0 
800,2706.0 
810,2432.0 
820,2398.0 
