time,502,200,500,422,400,302,504 
360,28,15149,,10,20,16542, 
370,86,16131,,26,83,17522, 
380,277,17077,,90,306,18468, 
390,775,17973,,226,840,19363, 
400,1516,18900,1,466,1843,20219, 
410,2458,19891,5,817,3243,20993, 
420,3572,20884,15,1224,4987,21767, 
430,4727,21826,51,1678,7016,22396, 
440,6076,22786,123,2170,9174,22985, 
450,7489,23645,199,2645,11378,23467, 
460,8507,24661,319,3246,13516,24021, 
470,9663,25649,445,3781,15690,24513, 
480,10630,26719,571,4379,17856,25067, 
490,11623,27842,726,4999,20117,25623, 
500,12770,28859,877,5587,22434,26111, 
510,14090,29968,1015,6267,25117,26598, 
520,15532,31121,1157,6991,28194,27057, 
530,17053,32235,1322,7648,31235,27490, 
540,18623,33319,1521,8362,34228,27902, 
550,20177,34486,1729,9133,37328,28273, 
560,21742,35632,1950,9887,40520,28647, 
570,23461,36799,2144,10664,44002,29011, 
580,25367,38053,2346,11484,47804,29385, 
590,27572,39207,2574,12270,51865,29701, 
600,29883,40376,2829,13103,56091,30012, 
610,32236,41566,3062,13962,60353,30283, 
620,34616,42731,3323,14810,64644,30558, 
630,37109,43936,3576,15701,69141,30805, 
640,39611,45169,3838,16642,73831,31046, 
650,41937,46361,4094,17567,78397,31282, 
660,44243,47559,4367,18515,83044,31519, 
670,46505,48893,4681,19581,87817,31756, 
680,48872,50111,5034,20557,92274,31962, 
690,51080,51455,5364,21571,96747,32175, 
700,53502,52688,5676,22542,101311,32371, 
710,55790,53892,5919,23473,105799,32575, 
720,58650,54794,6143,24316,110731,32850, 
730,61301,55508,6382,25090,115390,33138, 
740,63083,56218,6695,25906,118960,33474, 
750,64100,56807,6995,26556,121207,33812, 
760,64312,57449,7350,27132,122444,34252, 
770,64315,58074,7687,27505,122928,34909, 
780,64315,58728,7838,27709,123132,35647,1 
790,64315,59362,7886,27767,123188,36373,1 
800,64315,59700,7894,27782,123209,36724,1 
810,64315,59769,7900,27786,123210,36798,1 
820,64315,59773,7900,27786,123210,36804,1 
830,64315,59775,7900,27786,123210,36807,1 
840,64315,59776,7900,27786,123210,36809,1 
848,64315,59778,7900,27786,123210,36810,1 
