time,users,connected 
0,14,13 
10,20,7 
20,33,13 
30,49,15 
40,53,4 
50,53,-7 
60,54,8 
70,61,7 
80,61,-3 
90,66,8 
100,75,10 
110,75,-5 
120,76,2 
130,76,-2 
140,84,14 
150,95,10 
160,106,12 
170,107,-5 
180,119,17 
190,139,21 
200,153,14 
210,180,27 
220,205,16 
230,210,1 
240,219,18 
250,234,11 
260,250,24 
270,266,13 
280,291,25 
290,301,3 
300,313,19 
310,352,40 
320,407,55 
330,427,19 
340,478,53 
350,540,63 
360,627,86 
370,756,125 
380,883,100 
390,986,-23 
400,1074,-11 
410,1148,-13 
420,1242,95 
430,1250,8 
440,1259,-3 
450,1259,17 
460,1273,-14 
470,1307,12 
480,1355,54 
490,1445,34 
500,1482,-11 
510,1535,24 
520,1554,10 
530,1558,-33 
540,1620,73 
550,1741,57 
560,1785,17 
570,1830,5 
580,1878,-21 
590,1930,68 
600,1989,16 
610,2062,37 
620,2099,4 
630,2142,-23 
640,2171,-5 
650,2171,-20 
660,2171,62 
670,2200,50 
680,2219,36 
690,2254,-30 
700,2265,-29 
710,2266,-60 
720,2266,-283 
730,2266,-230 
740,2266,-88 
750,2266,-57 
760,2266,-100 
770,2266,-135 
780,2266,-111 
790,2266,-121 
800,2266,-81 
810,2266,-27 
820,2266,0 
830,2266,0 
837,2266,-1 
