time,recvpackets@tsung_controller@ip-172-31-29-45 
10,497 
20,541 
30,1316 
40,1884 
50,2019 
60,2069 
70,2301 
80,2301 
90,2301 
100,2634 
110,3172 
120,3172 
130,3172 
140,3172 
150,3172 
160,3755 
170,4353 
180,4353 
190,4801 
200,4801 
210,5604 
220,6951 
230,8594 
240,8809 
250,8809 
260,8913 
270,10087 
280,10995 
290,12186 
300,12186 
310,13300 
320,14393 
330,15400 
340,16669 
350,16669 
360,16669 
370,16669 
380,16669 
390,16669 
400,19162 
410,22839 
420,26103 
430,28171 
440,28171 
450,28516 
460,28532 
470,28532 
480,28650 
490,29609 
500,30921 
510,32619 
520,33841 
530,34150 
540,34150 
550,36131 
560,36661 
570,37675 
580,41108 
590,41144 
600,42032 
610,43626 
620,45330 
630,45692 
640,48533 
650,48533 
660,48844 
670,48844 
680,48844 
690,48844 
700,49248 
710,50192 
720,50618 
730,50618 
740,50618 
750,50618 
760,50618 
770,50618 
780,50618 
790,50618 
800,50618 
810,50618 
820,50618 
830,50618 
837,50618 
