time,recvpackets@tsung_controller@ip-172-31-29-45 
10,98 
20,295 
30,439 
40,1163 
50,1528 
60,1624 
70,1624 
80,1624 
90,1871 
100,1901 
110,2018 
120,2357 
130,2627 
140,2654 
150,2756 
160,2764 
170,3046 
180,3455 
190,3705 
200,3705 
210,4585 
220,5905 
230,6586 
240,7574 
250,8336 
260,9110 
270,9729 
280,10164 
290,10925 
300,10925 
310,10925 
320,11429 
330,13105 
340,15736 
350,17135 
360,18862 
370,19033 
380,20881 
390,21371 
400,21597 
410,24363 
420,24363 
430,24363 
440,24363 
450,24363 
460,24363 
470,24363 
480,24392 
490,26871 
500,28192 
510,29455 
520,32346 
530,34530 
540,35791 
550,38470 
560,38783 
570,40302 
580,43082 
590,45331 
600,46996 
610,50390 
620,50390 
630,50871 
640,52608 
650,54611 
660,54946 
670,56194 
680,56317 
690,56317 
700,56317 
710,56317 
720,56317 
730,56317 
740,56317 
750,56317 
760,56317 
770,56317 
780,56317 
790,56317 
800,56317 
810,56317 
820,56317 
829,56317 
