time,recvpackets@tsung_controller@ip-172-31-17-128 
10,1026 
20,1026 
30,1198 
40,1926 
50,2383 
60,2407 
70,2407 
80,2407 
90,2407 
100,2770 
110,3028 
120,3028 
130,3028 
140,3268 
150,3400 
160,4084 
170,4084 
180,4449 
190,4449 
200,4868 
210,6061 
220,8072 
230,8823 
240,8823 
250,9048 
260,10442 
270,11153 
280,13057 
290,13978 
300,14922 
310,15205 
320,15521 
330,16438 
340,18644 
350,19785 
360,20140 
370,20140 
380,20140 
390,20140 
400,20337 
410,20337 
420,21018 
430,22514 
440,24796 
450,27986 
460,31287 
470,32349 
480,32527 
490,32527 
500,32527 
510,32999 
520,33206 
530,34850 
540,36227 
550,36761 
560,39127 
570,39127 
580,39707 
590,39707 
600,39707 
610,46151 
620,46151 
630,46151 
640,46151 
650,46151 
660,46151 
670,46452 
680,46452 
690,46452 
700,46452 
710,46452 
720,46452 
730,46452 
740,46452 
750,46452 
760,46452 
770,46452 
780,46452 
790,46452 
800,46452 
810,46452 
820,46452 
830,46452 
840,46452 
850,46452 
860,46452 
870,46452 
880,46452 
890,46452 
900,46452 
