time,users,connected 
0,9,9 
10,22,22 
20,37,37 
30,47,47 
40,51,51 
50,49,49 
60,54,53 
70,59,58 
80,57,56 
90,68,69 
100,68,68 
110,65,65 
120,69,69 
130,71,70 
140,87,86 
150,95,94 
160,95,95 
170,95,95 
180,108,107 
190,127,127 
200,150,149 
210,174,174 
220,186,186 
230,199,199 
240,199,198 
250,232,233 
260,268,267 
270,293,294 
280,296,297 
290,317,317 
300,322,320 
310,372,372 
320,401,400 
330,439,435 
340,501,500 
350,550,550 
360,603,601 
370,682,679 
380,793,790 
390,910,890 
400,1013,995 
410,1120,1068 
420,1266,1158 
430,1396,1214 
440,1490,1176 
450,1573,1188 
460,1631,1211 
470,1653,1199 
480,1659,1225 
490,1662,1250 
500,1690,1265 
510,1746,1285 
520,1763,1273 
530,1809,1280 
540,1878,1320 
550,1980,1379 
560,2034,1418 
570,2080,1379 
580,2158,1354 
590,2164,1335 
600,2232,1410 
610,2271,1503 
620,2282,1389 
630,2325,1384 
640,2382,1399 
650,2402,1399 
660,2369,1290 
670,2403,1393 
680,2333,1333 
690,2371,1408 
700,2375,1414 
710,2394,1378 
720,2156,1060 
730,1722,775 
740,1337,611 
750,939,473 
760,702,401 
770,504,291 
780,314,240 
790,127,101 
800,40,32 
810,13,8 
820,5,0 
830,5,1 
840,4,4 
850,3,3 
860,2,2 
870,2,2 
880,2,2 
890,2,2 
900,0,0 
903,0,0 
