time,recvpackets@tsung_controller@ip-172-31-29-234 
10,189 
20,417.0 
30,849.0 
40,1128.0 
50,1277.0 
60,1601.0 
70,1934.0 
80,2459.0 
90,2674.0 
100,2788.0 
110,3052.0 
120,3244.0 
130,3554.0 
140,3374.0 
150,3576.0 
160,4185.0 
170,4632.0 
180,4548.0 
190,4580.0 
200,4978.0 
210,5902.0 
220,7012.0 
230,8193.0 
240,8509.0 
250,9309.0 
260,9114.0 
270,10303.0 
280,10773.0 
290,12244.0 
300,12206.0 
310,13299.0 
320,14358.0 
330,16513.0 
340,19675.0 
350,21956.0 
360,21741.0 
370,22940.0 
380,23249.0 
390,25994.0 
400,29098.0 
410,31956.0 
420,32898.0 
430,33935.0 
440,33101.0 
450,32535.0 
460,34646.0 
470,35249.0 
480,35804.0 
490,37934.0 
500,33804.0 
510,35240.0 
520,35990.0 
530,40166.0 
540,41848.0 
550,44665.0 
560,46099.0 
570,46324.0 
580,46906.0 
590,47707.0 
600,49362.0 
610,49760.0 
620,49961.0 
630,50579.0 
640,51410.0 
650,50414.0 
660,51907.0 
670,51261.0 
680,51476.0 
690,50929.0 
700,53262.0 
710,53823.0 
720,53145.0 
730,47810.0 
740,47985.0 
750,45672.0 
760,37310.0 
770,16859.0 
780,4164.0 
790,863.0 
800,211.0 
810,152.0 
820,147.0 
830,111.0 
838,89.0 
