time,users,connected 
0,14,14 
10,27,26 
20,38,36 
30,44,43 
40,55,54 
50,46,46 
60,51,49 
70,58,58 
80,63,63 
90,66,66 
100,79,79 
110,74,74 
120,71,71 
130,71,71 
140,72,72 
150,71,71 
160,82,82 
170,80,80 
180,90,90 
190,115,115 
200,130,130 
210,156,156 
220,178,178 
230,191,192 
240,210,210 
250,231,226 
260,253,252 
270,266,266 
280,278,274 
290,291,291 
300,322,323 
310,372,360 
320,433,382 
330,484,464 
340,544,523 
350,590,592 
360,710,676 
370,827,753 
380,919,834 
390,1018,864 
400,1108,883 
410,1164,883 
420,1220,867 
430,1238,890 
440,1280,938 
450,1259,935 
460,1283,900 
470,1310,910 
480,1364,952 
490,1432,997 
500,1471,972 
510,1510,990 
520,1527,987 
530,1552,971 
540,1584,1013 
550,1673,1073 
560,1740,1127 
570,1803,1135 
580,1843,1116 
590,1907,1138 
600,1971,1156 
610,2041,1229 
620,2109,1295 
630,2139,1282 
640,2125,1203 
650,2105,1142 
660,2113,1205 
670,2128,1259 
680,2140,1298 
690,2225,1301 
700,2249,1328 
710,2249,1254 
720,1979,991 
730,1615,751 
740,1258,634 
750,928,600 
760,648,536 
770,439,405 
780,281,264 
790,203,204 
800,161,161 
810,134,134 
820,130,129 
830,130,130 
840,129,129 
850,88,81 
860,72,72 
870,61,60 
880,61,60 
890,60,61 
900,58,58 
910,36,28 
920,9,8 
930,1,1 
938,0,0 
