time,users,connected 
0,14,14 
10,26,12 
20,33,6 
30,39,7 
40,43,4 
50,43,-7 
60,45,8 
70,57,12 
80,64,6 
90,64,-2 
100,69,6 
110,69,-2 
120,70,6 
130,85,15 
140,99,7 
150,100,7 
160,105,1 
170,105,-9 
180,105,10 
190,134,33 
200,155,21 
210,183,27 
220,197,13 
230,204,6 
240,223,22 
250,234,8 
260,242,9 
270,265,24 
280,288,20 
290,306,14 
300,331,32 
310,378,47 
320,410,32 
330,432,21 
340,474,43 
350,483,5 
360,560,79 
370,605,30 
380,686,86 
390,776,89 
400,899,125 
410,992,87 
420,1163,179 
430,1297,130 
440,1474,172 
450,1648,176 
460,1830,172 
470,1988,152 
480,2226,181 
490,2468,278 
500,2671,190 
510,2820,-1063 
520,2985,1167 
530,3178,-73 
540,3369,246 
550,3571,-29 
560,3673,34 
570,3690,-174 
581,3690,-215 
591,3690,-244 
601,3690,-193 
611,3690,-327 
621,3690,-684 
630,3690,-291 
640,3690,212 
650,3690,55 
660,3690,33 
670,3690,17 
680,3690,-133 
691,3690,-131 
701,3690,-249 
710,3690,32 
720,3690,9 
730,3690,-234 
740,3690,-201 
750,3690,-57 
760,3690,-15 
770,3690,-40 
780,3690,-33 
790,3690,-21 
